Anio;Total_Ventas;Var_Ventas_Pct
2007;2508138;
2008;1851890;-26.16474851064814
2009;1549021;-16.354589095464632
2010;1538101;-0.7049613917435638
2011;1648176;7.156552137993533
2012;1234992;-25.069167370475
2013;1367792;10.753106092994935
2014;1438011;5.133748406190408
2015;1395902;-2.9282807989646775
2016;1550804;11.096910814656047
2017;1680886;8.388036141253185
2018;1684811;0.23350780481246058
2019;1730131;2.689915960900069
2020;1305139;-24.56415150066671
2021;2005987;53.69910791111139
2022;1251957;-37.58897739616458
2023;1965615;57.00339548403019
2024;2069445;5.282316221640548
2025;2381370;15.072881859629028
2026;191315;-91.96617913218022
