Tipo de jornada,Decil,Valor absoluto y porcentaje,DateTime,Total,Anio,Total_Num,Salario_Anual_Real
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002024,"1.767,6",2024,1767.6,21211.199999999997
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002023,"1.736,2",2023,1736.2,20834.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002022,"1.673,0",2022,1673.0,20076.0
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002021,"1.601,3",2021,1601.3,19215.6
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002020,"1.535,9",2020,1535.9,18430.800000000003
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002019,"1.593,0",2019,1593.0,19116.0
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002018,"1.563,3",2018,1563.3,18759.6
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002017,"1.506,6",2017,1506.6,18079.199999999997
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002016,"1.459,2",2016,1459.2,17510.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002015,"1.423,7",2015,1423.7,17084.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002014,"1.380,2",2014,1380.2,16562.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002013,"1.356,4",2013,1356.4,16276.800000000001
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002012,"1.411,2",2012,1411.2,16934.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002011,"1.499,4",2011,1499.4,17992.800000000003
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002010,"1.528,4",2010,1528.4,18340.800000000003
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002009,"1.555,7",2009,1555.7,18668.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002008,"1.659,6",2008,1659.6,19915.199999999997
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002007,"1.667,2",2007,1667.2,20006.4
Jornada a tiempo completo,5,Valor absoluto,1970-01-01 00:00:00.000002006,"1.610,6",2006,1610.6,19327.199999999997
