Tipo de jornada;Decil;Valor absoluto y porcentaje;Periodo;Total
Jornada a tiempo completo;5;Valor absoluto;2024;1.767,6
Jornada a tiempo completo;5;Valor absoluto;2023;1.736,2
Jornada a tiempo completo;5;Valor absoluto;2022;1.673,0
Jornada a tiempo completo;5;Valor absoluto;2021;1.601,3
Jornada a tiempo completo;5;Valor absoluto;2020;1.535,9
Jornada a tiempo completo;5;Valor absoluto;2019;1.593,0
Jornada a tiempo completo;5;Valor absoluto;2018;1.563,3
Jornada a tiempo completo;5;Valor absoluto;2017;1.506,6
Jornada a tiempo completo;5;Valor absoluto;2016;1.459,2
Jornada a tiempo completo;5;Valor absoluto;2015;1.423,7
Jornada a tiempo completo;5;Valor absoluto;2014;1.380,2
Jornada a tiempo completo;5;Valor absoluto;2013;1.356,4
Jornada a tiempo completo;5;Valor absoluto;2012;1.411,2
Jornada a tiempo completo;5;Valor absoluto;2011;1.499,4
Jornada a tiempo completo;5;Valor absoluto;2010;1.528,4
Jornada a tiempo completo;5;Valor absoluto;2009;1.555,7
Jornada a tiempo completo;5;Valor absoluto;2008;1.659,6
Jornada a tiempo completo;5;Valor absoluto;2007;1.667,2
Jornada a tiempo completo;5;Valor absoluto;2006;1.610,6
