Anio;Precio_Alquiler_Num;Var_Alquiler_Pct
2006;9.9;
2007;9.2;-7.070707070707083
2008;8.55;-7.065217391304335
2009;7.9;-7.602339181286554
2010;7.8;-1.2658227848101333
2011;8.1;3.8461538461538547
2012;7.9;-2.4691358024691246
2013;7.2;-8.860759493670889
2014;7.2;0.0
2015;7.4;2.77777777777779
2016;7.9;6.756756756756754
2017;8.850000000000001;12.025316455696222
2018;9.9;11.864406779661007
2019;10.3;4.040404040404044
2020;10.8;4.854368932038833
2021;10.45;-3.240740740740755
2022;10.8;3.349282296650724
2023;11.8;9.259259259259256
2024;13.1;11.016949152542367
2025;14.5;10.687022900763354
2026;15.0;3.4482758620689724
